Control ID,Control Name,Control Description,Comment,Result,Remediation Guidance
srp-am-base,privileged-access-best-practices,Ensure there are adequate guardrails for privileged functions.,"The result is COMPLIANT because the system defines distinct administrative roles (admin, accounting), restricts privileged routes with role-based guards, and logs administrative operations. The user role field enforces an enum constraint (customer|deluxe|accounting|admin), role-based authorization middleware protects sensitive endpoints, and access logging specifically monitors administrative operations with sensitive data.",COMPLIANT,
srp-cm-df15fc50-d458-4a73-9ec1-4d46e04d0797,forbid-ftp-and-sftp-file-hosting-from-company-applications,"Ensures that all company applications meet certain technical standards for serving file data to other internal users, and to customers.","The result is NON_COMPLIANT because the document explicitly states that Juice Shop will host an FTP server to store company information, including planned business decisions, private customer incident information, and metadata on deployed software packages.",NON_COMPLIANT,"To achieve compliance, remove the FTP server and migrate all file hosting to purpose-built APIs or pre-configured S3 buckets with the required access controls, encryption, and governance policies."
srp-cm-df15fc50-d458-4a73-9ec1-4d46e04d0797,json-web-token-jwt-authorization-best-practices,Ensure that systems leveraging JWTs for authorization are implemented in a secure manner following industry best practices.,"The result is NON_COMPLIANT because the document explicitly states that unsigned JWTs are allowed for testing and HMAC 256 is permitted in production, which violates the requirement to reject tokens with alg set to ""none"" and to require RS256 exclusively.",NON_COMPLIANT,"To achieve compliance, reject all tokens with alg ""none"", require RS256 as the only accepted algorithm, and explicitly verify audience and issuer claims on all JWTs."
srp-am-base,authentication-best-practices,Ensure only legitimate users can access the system.,"The result is COMPLIANT because the system implements appropriate authentication mechanisms. It supports email/password with bcrypt hashing, Google OAuth social login, JWT-based session management with HMAC-256/RSA-256 algorithms, 2FA via TOTP, role-based authorization, and route guards protecting authenticated endpoints.",COMPLIANT,
srp-am-base,tenant-isolation-best-practices,Ensure appropriate separation between system tenants.,"The result is NOT_APPLICABLE because Juice Shop is a single-tenant e-commerce application serving individual customers, not a multi-tenant system where multiple organizations share infrastructure. The system has users (customers) but these are end-users of a single application instance, not tenants sharing a platform.",NOT_APPLICABLE,
srp-am-base,information-protection-best-practices,Ensure sensitive data remains confidential and unaltered.,"The result is NON_COMPLIANT because the document explicitly states credit card data is stored in plaintext with no encryption. The system stores sensitive data including user credentials, payment information, and private customer incident information, yet lacks encryption at rest for the database and uses an FTP server (unencrypted protocol) for storing confidential business and customer data.",NON_COMPLIANT,"To achieve compliance, encrypt credit card numbers at rest (or use tokenization), enable encryption for the SQLite database file, and replace the FTP server with SFTP or another encrypted file transfer/storage mechanism."
srp-am-base,trusted-cryptography-best-practices,Ensure only trustworthy cryptographic implementations are used.,"The result is NON_COMPLIANT because the system allows unsigned JWTs for testing, uses a `security.hash()` function in raw SQL without specifying a trusted library, and stores credit card data in plaintext without encryption.",NON_COMPLIANT,"To achieve compliance, you can enforce JWT signature validation in all environments (removing unsigned JWT support), specify the use of established cryptographic libraries (e.g., jsonwebtoken with strong key management), and encrypt sensitive data like credit card numbers at rest."
srp-am-base,audit-logging-best-practices,Ensure the system supports security monitoring.,"The result is COMPLIANT because the document describes a comprehensive audit logging strategy covering security-critical events, log content details, and completeness measures. It specifies logging of API activity, admin operations, login/logout patterns, and data exports, with each event capturing user identity, timestamp, source IP, and request outcome. The design also includes log integrity protections, retention policies, access controls, and active monitoring with automated alarms.",COMPLIANT,
srp-am-base,authorization-best-practices,Ensure systems follow authorization best practices.,"The result is NON_COMPLIANT because the system has significant authorization gaps despite having some role-based controls. The auto-generated CRUD endpoints (Finale-REST) expose `GET /api/Users` to list all users without apparent authorization restrictions, and the `GET /api/Users/:id` endpoint appears unprotected, allowing any user to access other users' data. Additionally, the basket route appends the user ID but the document does not describe server-side ownership verification to prevent users from accessing other users' baskets.",NON_COMPLIANT,"To achieve compliance, you can ensure all auto-generated CRUD endpoints require authentication by default and enforce ownership checks (e.g., users can only access their own data), restrict the `GET /api/Users` endpoint to admin-only access, and add server-side validation that the authenticated user matches the resource owner for basket, address, card, and order endpoints."
srp-am-base,secure-by-default-best-practices,Ensure the system's default configuration is secure.,"The result is NON_COMPLIANT because the system defaults to insecure configurations in multiple areas. CORS is configured to allow all origins by default, the metrics endpoint is publicly accessible, JWT signatures are optional for testing, and credit card data is stored in plaintext with no encryption.",NON_COMPLIANT,"To achieve compliance, restrict CORS to specific trusted origins by default, require JWT signature validation in all environments, protect the metrics endpoint with authentication, and encrypt sensitive data like credit card numbers at rest."
srp-am-base,log-protection-best-practices,Protect the integrity and confidentiality of system logs.,"The result is COMPLIANT because the document describes comprehensive log protection measures. Sensitive information (PII, payment data, secrets) is redacted via winston formatters, logs are stored in rotated files accessible only to Operator-role team members, integrity is protected via fingerprinting, retention is at least one year with access controlled through a ticketed process, and DEBUG/INFO logging is disabled in production.",COMPLIANT,
srp-am-base,secret-protection-best-practices,Ensure that secrets like credentials remain confidential.,"The result is INSUFFICIENT_DATA because the system uses secrets (JWT signing keys, Google OAuth credentials, TOTP secrets, database credentials) but the document does not describe how these are stored, rotated, or managed. The Sequelize configuration shows hardcoded placeholder credentials ('username', 'password'), and there is no mention of a secrets management service, rotation policies, or credential revocation procedures.",INSUFFICIENT_DATA,"To clarify, document how JWT signing keys, Google OAuth client secrets, and other application secrets are stored (e.g., in a secrets manager), define rotation policies, and explain the process for revoking compromised credentials."
